epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3624,1.90026,4.26433,2.02233,0.00564,0.92086,0.16593,0.09301,1.53126,3.27815,1.77565,0.00024543,0.00024543,0.00024543
2,26.3742,1.63188,3.41927,1.75288,1,0.04752,0.28405,0.12574,1.73134,3.00889,1.87186,0.000495,0.000495,0.000495
3,38.7428,1.59116,2.97374,1.70164,0.54014,0.2873,0.38301,0.19494,1.78146,2.42025,1.88041,0.000739531,0.000739531,0.000739531
4,47.3803,1.61357,2.93121,1.60556,0.63287,0.48177,0.54236,0.24475,1.779,2.63824,1.92506,0.000882003,0.000882003,0.000882003
5,59.5158,1.60353,2.66365,1.57202,0.66829,0.58345,0.66304,0.35199,1.65617,3.72325,1.78428,0.000873004,0.000873004,0.000873004
6,68.6947,1.57725,2.45732,1.54802,0.79212,0.62893,0.76952,0.44851,1.60845,1.61239,1.62409,0.000864004,0.000864004,0.000864004
7,79.2746,1.53454,2.26602,1.52101,0.75374,0.79534,0.89368,0.50395,1.56365,1.77243,1.64444,0.000855005,0.000855005,0.000855005
8,90.6146,1.48495,2.20507,1.48364,0.8483,0.86041,0.93041,0.57287,1.41674,1.36273,1.47434,0.000846006,0.000846006,0.000846006
9,99.6547,1.49077,2.05881,1.49357,0.7762,0.90245,0.94942,0.5457,1.50732,2.58034,1.58261,0.000837007,0.000837007,0.000837007
10,111.804,1.46619,1.91701,1.47002,0.9516,0.92286,0.96581,0.56309,1.46907,0.97462,1.524,0.000828008,0.000828008,0.000828008
11,120.279,1.46081,1.82301,1.44396,0.85031,0.84342,0.92885,0.55069,1.46745,1.11324,1.50229,0.000819009,0.000819009,0.000819009
12,132.089,1.45162,1.8291,1.42521,0.8046,0.81141,0.89818,0.52579,1.43203,1.25707,1.46663,0.00081001,0.00081001,0.00081001
13,140.823,1.4291,1.70365,1.40874,0.93131,0.9509,0.97146,0.57901,1.46942,0.87546,1.49821,0.000801011,0.000801011,0.000801011
14,152.221,1.40353,1.6909,1.41818,0.86234,0.83189,0.92383,0.56187,1.49092,1.97366,1.52755,0.000792012,0.000792012,0.000792012
15,162.088,1.39408,1.64211,1.38536,0.91112,0.84137,0.94338,0.58033,1.43031,1.03219,1.47002,0.000783013,0.000783013,0.000783013
16,172.325,1.3677,1.55225,1.36174,0.93687,0.93884,0.96664,0.61267,1.45281,0.866,1.47078,0.000774013,0.000774013,0.000774013
17,183.344,1.37675,1.51723,1.37939,0.9464,0.95577,0.97721,0.55761,1.64468,0.82363,1.60374,0.000765014,0.000765014,0.000765014
18,192.345,1.38513,1.46538,1.36465,0.88916,0.87151,0.95265,0.56196,1.50984,0.9289,1.4964,0.000756015,0.000756015,0.000756015
19,204.114,1.38768,1.48571,1.3807,0.82274,0.91475,0.93471,0.52762,1.68843,1.02029,1.63526,0.000747016,0.000747016,0.000747016
20,212.324,1.29723,1.34552,1.30092,0.88725,0.91183,0.92692,0.54126,1.4583,0.89067,1.5156,0.000738017,0.000738017,0.000738017
21,224.142,1.3515,1.38542,1.33955,0.90614,0.93762,0.96625,0.58459,1.41774,0.8351,1.48761,0.000729018,0.000729018,0.000729018
